"title","date","original_price","achievements_number","langs_number","dlcs_number","has_ost","is_dlc","is_ost","total_positive","total_reviews","required_age","estimate_sales","players_peak","is_action","is_adventure","is_indie","is_strategy","is_early_access","is_simulation","is_massively_multiplayer","is_rpg","is_racing","is_sports","is_casual","is_animation_and_modeling","is_design_and_illustration","is_photo_editing","is_utilities","is_game_development","is_education","is_web_publishing","is_software_training","is_video_production","is_audio_production"
"Crimson Desert","Q1-2026",69.99,34,14,1,FALSE,FALSE,FALSE,62351,71794,18,"low",276261,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Slay the Spire 2","Q1-2026",22.99,0,14,0,FALSE,FALSE,FALSE,54304,57782,0,"low",574638,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Resident Evil 4","Q1-2023",39.99,46,14,26,TRUE,FALSE,FALSE,86909,90196,18,"medium_high",168097,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Red Dead Redemption 2","Q4-2019",59.99,51,13,0,FALSE,FALSE,FALSE,291740,317587,18,"high",99993,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Euro Truck Simulator 2","Q4-2012",50.33,106,30,106,FALSE,FALSE,FALSE,177625,182232,3,"high",73887,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ARC Raiders","Q4-2025",39.99,50,13,3,FALSE,FALSE,FALSE,201901,241463,0,"low",481966,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Rust","Q1-2018",39.99,92,25,4,TRUE,FALSE,FALSE,535414,620645,0,"high",262284,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Grand Theft Auto V Enhanced","Q1-2025",29.99,77,13,0,FALSE,FALSE,FALSE,52674,66229,18,"medium_high",187059,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"NBA 2K26","Q3-2025",69.99,48,9,4,FALSE,FALSE,FALSE,8868,12219,3,"low",52863,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Dead by Daylight","Q2-2016",19.99,297,15,36,TRUE,FALSE,FALSE,282966,359354,18,"high",120717,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ARK: Survival Ascended","Q4-2023",44.99,32,16,15,TRUE,FALSE,FALSE,35868,59716,16,"medium_high",93659,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Resident Evil Requiem","Q1-2026",69.99,49,14,1,TRUE,FALSE,FALSE,72697,75221,18,"low",344214,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Subnautica","Q1-2018",29.99,17,27,0,TRUE,FALSE,FALSE,196272,202561,0,"medium_high",51446,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Gray Zone Warfare","Q2-2024",39.99,0,12,0,FALSE,FALSE,FALSE,36884,49756,0,"medium_high",72548,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Baldur's Gate 3","Q3-2023",59.99,54,15,2,FALSE,FALSE,FALSE,480007,495754,18,"high",838256,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
